src,dest,pathway
488,3708,R-HSA-5578775
490,7220,R-HSA-5578775
490,6786,R-HSA-5578775
490,84876,R-HSA-5578775
490,80228,R-HSA-5578775
6261,6588,R-HSA-5578775
6261,487,R-HSA-5578775
6261,801,R-HSA-5578775
6261,805,R-HSA-5578775
6261,808,R-HSA-5578775
6261,488,R-HSA-5578775
6261,490,R-HSA-5578775
6261,493,R-HSA-5578775
6261,5350,R-HSA-5578775
6261,6717,R-HSA-5578775
6261,6546,R-HSA-5578775
6261,6547,R-HSA-5578775
6261,491,R-HSA-5578775
6261,816,R-HSA-5578775
6261,818,R-HSA-5578775
6261,817,R-HSA-5578775
6261,492,R-HSA-5578775
6261,489,R-HSA-5578775
6261,6543,R-HSA-5578775
6261,815,R-HSA-5578775
493,7220,R-HSA-5578775
493,6786,R-HSA-5578775
493,84876,R-HSA-5578775
493,80228,R-HSA-5578775
5350,10768,R-HSA-5578775
5350,3709,R-HSA-5578775
5350,3710,R-HSA-5578775
5350,3708,R-HSA-5578775
6717,5348,R-HSA-5578775
6717,6588,R-HSA-5578775
6717,487,R-HSA-5578775
6717,10768,R-HSA-5578775
6717,476,R-HSA-5578775
6717,481,R-HSA-5578775
6717,801,R-HSA-5578775
6717,805,R-HSA-5578775
6717,808,R-HSA-5578775
6717,478,R-HSA-5578775
6717,482,R-HSA-5578775
6717,488,R-HSA-5578775
6717,490,R-HSA-5578775
6717,493,R-HSA-5578775
6717,5350,R-HSA-5578775
6717,6546,R-HSA-5578775
6717,7220,R-HSA-5578775
